co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
1321,4.827679895764896e-06,1321,42,68,0,220,8
1334,3.256541470136811e-06,1334,42,68,0,220,8
1320,5.1133414405035494e-06,1320,42,71,0,220,8
1362,-7.998523003699194e-07,1362,42,70,0,220,8
1355,0.05800363678846452,1338.4,42,68,0,220,8
1364,0.04333667840551546,1347.0,42,69,0,219,8
1375,0.11733844588621131,1355.2,42,79,0,219,8
1377,0.01533757871412433,1366.6,42,75,0,219,8
1386,0.13749684106365515,1371.4,42,62,0,219,8
1414,0.1508382353405467,1383.2,43,62,0,219,8
1413,0.15751273141888675,1393.0,43,65,0,219,8
1426,0.15248957602907703,1403.2,43,64,0,219,8
1426,0.18807687951032062,1413.0,43,64,1,219,8
1426,0.1867603176647879,1421.0,43,64,1,219,8
1426,0.1655735351696722,1423.4,43,64,1,219,8
1446,0.16264450269109978,1430.0,43,75,1,219,8
1452,0.13472453694781278,1435.2,43,73,2,219,8
1471,0.14078475830083095,1444.2,43,74,1,218,8
1464,0.1610227451298622,1451.8,43,72,0,219,8
1461,0.14756351962232458,1458.8,43,70,0,219,8
1491,0.15234738386111799,1467.8,43,70,0,218,8
1491,0.14674786173427923,1475.6,43,70,1,218,8
1500,0.14624680571831525,1481.4,43,67,2,219,8
1522,0.18628888009791825,1493.0,43,65,1,219,8
1522,0.22696990292587435,1505.2,43,65,1,219,8
1510,0.20266785641737378,1509.0,43,61,2,219,8
1529,0.21360921404810757,1516.6,43,58,1,219,8
1529,0.17836689950616222,1522.4,43,58,1,219,8
1551,0.13956104437680483,1528.2,43,56,2,219,8
1564,0.1674848174643304,1536.6,44,56,1,218,8
1576,0.19214836132871269,1549.8,43,52,0,218,8
1576,0.2130175920485553,1559.2,43,52,1,218,8
1580,0.23845369717074366,1569.4,44,52,2,218,9
1578,0.22098051871732347,1574.8,44,50,1,218,9
1578,0.168693703604924,1577.6,44,50,1,218,9
1598,0.13833789834028876,1582.0,44,49,2,218,9
1595,0.09951652331457506,1585.8,44,49,1,218,8
1595,0.08499264625032454,1588.8,44,49,1,218,8
1591,0.08373993039854757,1591.4,44,48,2,218,8
1591,0.07282168488452538,1594.0,44,48,1,218,8
1618,0.07402673843220231,1598.0,44,46,1,218,8
1617,0.08252844269789976,1602.4,44,46,1,218,8
1625,0.10315154176131751,1608.4,44,45,2,218,8
1625,0.1286517510699544,1615.2,44,45,1,218,8
1660,0.18812060132641006,1629.0,44,45,2,218,8
1679,0.23543765113171602,1641.2,44,46,1,218,8
1679,0.2742906365612212,1653.6,44,46,1,218,8
1656,0.2706345045062705,1659.8,44,46,1,218,8
1647,0.2135974588170586,1664.2,44,46,1,218,8
1647,0.12378999172783575,1661.6,44,46,1,218,8
1679,0.04854597384655718,1661.6,44,49,1,218,8
1688,0.021845323282968416,1663.4,44,49,1,218,8
1707,0.05704108138646481,1673.6,44,53,2,218,8
1707,0.14562958036038914,1685.6,44,53,1,218,8
1720,0.23423171712613433,1700.2,44,56,1,217,8
1737,0.2936752778573099,1711.8,45,57,2,217,8
1730,0.2684862944444817,1720.2,45,57,0,218,8
1730,0.2202626344226224,1724.8,45,57,1,218,8
1749,0.18540513987422277,1733.2,45,54,1,218,8
1758,0.16292607928189368,1740.8,45,50,2,218,8
1758,0.14656118287292622,1745.0,45,50,1,218,8
1758,0.15655195923788046,1750.6,45,50,1,218,8
1761,0.1432055724484066,1756.8,45,48,1,217,8
1783,0.13260804445387153,1763.6,45,45,0,218,8
1788,0.1289539434374213,1769.6,45,45,0,217,8
1791,0.12215964130975852,1776.2,45,46,0,217,8
1803,0.12436715860784715,1785.2,45,46,0,218,8
1796,0.11917318782876506,1792.2,45,46,0,218,8
1831,0.13417730106257753,1801.8,45,46,0,217,8
1827,0.13917812961376652,1809.6,45,46,0,217,8
1827,0.14283767811836814,1816.8,45,46,1,217,8
1830,0.14822307234829007,1822.2,45,46,2,217,8
1844,0.1634088614641515,1831.8,45,46,1,217,8
1851,0.14556040528937822,1835.8,45,43,0,217,8
1851,0.1322644424459292,1840.6,45,43,1,217,8
1854,0.13223483539581454,1846.0,45,44,2,217,8
1854,0.10555085929378598,1850.8,45,44,1,217,8
1874,0.1274341389624771,1856.8,45,43,1,217,8
1820,0.06066595005036312,1850.6,45,45,1,217,8
1707,-0.1468439319879831,1821.8,45,45,2,217,8
1707,-0.35438560241451983,1792.4,45,45,1,217,8
1721,-0.552212423468391,1765.8,45,43,1,217,8
1732,-0.6870778774101544,1737.4,45,36,2,217,8
1732,-0.6189673840788534,1719.8,45,36,1,217,8
1783,-0.34834004160957766,1735.0,45,33,1,217,8
1724,-0.1662202837525625,1738.4,45,33,2,217,8
1681,-0.041375603856408184,1730.4,45,2,0,217,8
1572,-0.11384652342586876,1698.4,44,2,0,216,8
1628,-0.27750491886654904,1677.6,44,2,0,216,8
1609,-0.42390269447845924,1642.8,44,2,0,216,8
1647,-0.42910240230960905,1627.4,44,2,0,216,8
1638,-0.3316789363426289,1618.8,44,2,0,216,8
1643,-0.1858985129501947,1633.0,44,2,0,215,8
1634,-0.0358334076248818,1634.2,44,2,0,215,8
1625,0.04167828900530945,1637.4,44,1,0,216,8
1614,0.050004199152158625,1630.8,44,1,0,215,8
1613,-0.030001502648751673,1625.8,44,2,0,215,8
1625,-0.05000343147620199,1622.2,44,1,0,215,8
1624,-0.07166862036646572,1620.2,44,1,0,215,8
1631,-0.039166216110405196,1621.4,44,1,0,215,8
1608,-0.023333547375575785,1620.2,44,1,0,215,8
1614,-0.007500194278921318,1620.4,44,1,0,216,8
1612,-0.010000931836565464,1617.8,44,1,0,215,8
1606,-0.030003179708339607,1614.2,44,2,0,215,8
1579,-0.06834052765937293,1603.8,44,1,0,215,8
1589,-0.06800756114466143,1600.0,44,1,0,215,8
1602,-0.06733813035911665,1597.6,44,1,0,215,8
1587,-0.0720057876279749,1592.6,44,1,0,215,8
1569,-0.061987016823850244,1585.2,44,1,0,216,8
1565,-0.048892406021980264,1582.4,44,1,0,216,11
1574,-0.05055838008901147,1579.4,44,1,0,216,11
1581,-0.048329079527770165,1575.2,44,1,0,216,11
1568,-0.038344624832159814,1571.4,44,1,0,216,11
1554,-0.05833662617911845,1568.4,44,1,0,216,11
1554,-0.05500288446969921,1566.2,44,1,0,216,11
1555,-0.05334771835598525,1562.4,44,1,0,216,11
1555,-0.05917051638626047,1557.2,44,1,0,216,11
1538,-0.07166888664916635,1551.2,43,1,0,217,11
1541,-0.07333845301446398,1548.6,44,1,0,217,11
1535,-0.07333391934439319,1544.8,43,1,0,216,11
1529,-0.07333296063400703,1539.6,44,1,0,217,11
1517,-0.08000678437860285,1532.0,43,1,0,217,11
1506,-0.09583806338574999,1525.6,43,1,0,217,11
1519,-0.09834411165527303,1521.2,43,1,0,217,11
1523,-0.08667614760392539,1518.8,43,1,0,217,11
1517,-0.06500096232626952,1516.4,43,1,0,217,11
1511,-0.04333569618366178,1515.2,43,1,0,217,11
1493,-0.03583558442925053,1512.6,43,1,0,217,11
1488,-0.05166843455621684,1506.4,43,1,0,217,11
1465,-0.08999530325009855,1494.8,43,1,0,217,11
1478,-0.11750402799397129,1487.0,43,1,0,217,11
1470,-0.14083869624939138,1478.8,43,1,0,217,11
1474,-0.1308453478081461,1475.0,43,1,0,217,11
1448,-0.11585548798457722,1467.0,43,1,0,217,11
1451,-0.09500492044441619,1464.2,43,1,0,217,10
1449,-0.08498398957775427,1458.4,43,1,0,217,10
1459,-0.07833359915770544,1456.2,43,1,0,217,10
1456,-0.06000253229099482,1452.6,43,1,0,217,10
1467,-0.03250243992793346,1456.4,43,1,0,217,10
1463,0.0016668168491332008,1458.8,43,1,0,217,10
1454,0.015001654509388656,1459.8,43,1,0,217,10
1471,0.04000345653359732,1462.2,43,1,0,217,10
1452,0.020834357879940445,1461.4,43,1,0,217,10
1440,-0.011669503216012043,1456.0,43,1,0,217,10
1423,-0.049166818128330333,1448.0,42,1,0,217,10
1418,-0.08916669448052093,1440.8,42,1,0,217,10
1396,-0.1483484989874903,1425.8,42,1,0,217,10
1389,-0.17834633805146363,1413.2,42,1,0,217,10
1393,-0.1841835602801252,1403.8,42,1,0,217,10
1402,-0.17168039911394958,1399.6,42,1,0,217,10
1402,-0.12250253819966182,1396.4,42,1,0,217,10
1378,-0.08500500758185982,1392.8,42,1,0,217,10
1386,-0.048336486338279694,1392.2,42,1,0,217,10
1392,-0.031669003319624245,1392.0,42,1,0,217,10
1376,-0.04000255851420302,1386.8,42,1,0,217,10
1368,-0.05333644916934735,1380.0,42,1,0,217,10
1361,-0.06500483678010643,1376.6,42,1,0,217,10
1365,-0.08167187074535387,1372.4,42,1,0,217,10
1355,-0.09083790467835963,1365.0,42,1,0,217,10
1341,-0.0916718857643735,1358.0,42,1,0,216,10
1355,-0.08833566231377626,1355.4,42,1,0,217,10
1356,-0.07500212243245007,1354.4,42,1,0,217,10
1341,-0.06417027834185969,1349.6,42,1,0,216,10
1313,-0.07000657641081506,1341.2,42,1,0,217,10
1336,-0.06333792036878161,1340.2,42,1,0,217,10
1330,-0.08000693572087977,1335.2,42,1,0,217,10
1338,-0.0750071549535196,1331.6,42,1,0,217,10
1335,-0.044992107375191506,1330.4,42,1,0,217,10
1323,-0.03250181666484918,1332.4,42,1,0,217,10
1334,-0.01333432795738101,1332.0,42,1,0,216,10
1335,0.005833730241176624,1333.0,42,0,0,216,10
1318,-0.0058341263567505035,1329.0,42,1,0,216,10
1320,-0.026668488865428205,1326.0,42,1,0,216,10
1318,-0.029167027461355875,1325.0,42,1,0,216,10
1315,-0.04916941720153078,1321.2,42,1,0,216,10
1318,-0.046674015427358266,1317.8,42,1,0,216,10
1319,-0.03333535382145912,1318.0,42,0,0,217,10
1322,-0.027501977777156118,1318.4,42,1,0,216,10
1309,-0.019167148247871853,1316.6,42,1,0,216,10
1314,-0.0058340032133071,1316.4,42,1,0,216,10
1317,-0.007500472866007989,1316.2,42,1,0,216,10
1323,-0.005833805899025003,1317.0,42,1,0,216,10
1316,-0.0033335046790032687,1315.8,42,1,0,216,10
1309,-0.0025001389560847355,1315.8,42,1,0,216,10
1297,-0.0158341623581377,1312.4,42,1,0,216,10
1301,-0.032502082280107474,1309.2,42,1,0,216,10
1294,-0.05167073885075716,1303.4,42,1,0,216,10
1287,-0.07583732660362802,1297.6,42,1,0,216,10
1298,-0.07083944998514037,1295.4,42,1,0,216,10
1299,-0.055836344214877195,1295.8,42,1,0,216,10
1298,-0.03416962360350481,1295.2,42,1,0,216,10
1306,0.0,1297.6,42,1,0,216,10
1291,0.01250045240320911,1298.4,42,1,0,216,10
1285,0.0,1295.8,42,1,0,217,10
584,-0.002019976166278111,1152.8,40,15,0,213,7
585,-0.004076833879339103,1010.2,40,15,0,212,7
588,-0.006125180201348964,866.6,40,13,0,212,7
577,-0.008113948392803045,723.8,40,12,0,212,7
586,-2.370041828714936,584.0,40,12,0,212,7
596,-1.7659137599490473,586.4,40,13,0,212,7
586,-1.1667666603722078,586.6,40,13,0,213,7
582,-0.576710824334121,585.4,40,12,0,213,7
582,0.010000819303160288,586.4,40,14,0,212,7
580,-0.0049993107772356975,585.2,40,15,0,213,7
594,-0.007500098013668911,584.8,40,14,0,213,7
593,0.0033334983039749614,586.2,40,12,0,213,7
601,0.015000997296712977,590.0,40,12,0,213,7
589,0.025840310194002927,591.4,40,14,0,213,7
595,0.04000332764649779,594.4,40,13,0,213,7
593,0.03333491945528701,594.2,40,12,0,213,7
586,0.01166708182779042,592.8,40,11,0,213,7
587,-0.005833596033594711,590.0,40,10,0,213,7
594,-0.014167293449653869,591.0,40,9,0,213,7
607,-0.0033335734712550847,593.4,40,8,0,213,7
597,0.005833543440651264,594.2,40,9,0,213,7
603,0.031667212503954024,597.6,40,9,0,213,7
602,0.04000153380553118,600.6,40,8,0,213,7
600,0.03500227364765523,601.8,40,7,0,213,7
600,0.02583549658109749,600.4,40,8,0,212,7
594,0.00916729124420396,599.8,40,8,0,213,7
595,-0.010001079954098577,598.2,40,7,0,213,7
597,-0.01916762362645091,597.2,40,6,0,213,7
604,-0.010000405188924014,598.0,40,6,0,213,7
597,-0.010000928299364857,597.4,40,6,0,214,7
607,0.0075004647736658615,600.0,40,6,0,214,7
600,0.01583446826227996,601.0,40,6,0,213,7
606,0.020001044745180562,602.8,40,7,0,214,7
611,0.02833432677560002,604.2,40,8,0,213,7
609,0.02750097670894704,606.6,40,9,0,214,7
610,0.02583555944073582,607.2,40,12,0,213,7
649,0.04733749961169138,617.0,40,16,0,214,7
634,0.06133885698892608,622.6,40,15,0,214,7
632,0.06733656415175378,626.8,40,13,0,214,7
623,0.07466885203505659,629.6,40,11,0,213,7
627,0.06667074844395703,633.0,40,10,0,213,7
622,0.020834627765869206,627.6,40,9,0,213,10
626,-0.0033336161515640905,626.0,40,9,0,213,10
632,-0.015000993362284335,626.0,40,9,0,213,10
636,-0.018334586932872467,628.6,40,8,0,214,10
631,0.00750036658648239,629.4,40,8,0,213,10
632,0.022500618199107484,631.4,40,7,0,213,10
633,0.02833499855814329,632.8,40,7,0,214,10
632,0.017498976327757737,632.8,40,7,0,214,10
637,0.015000206696855214,633.0,40,8,0,214,10
632,0.007500681715578282,633.2,40,9,0,213,10
640,0.008333777279131429,634.8,40,9,0,214,10
623,0.0,632.8,40,9,0,213,10
627,-0.005000545163779104,631.8,40,8,0,213,10
642,-0.0016667583419973679,632.8,40,7,0,214,10
640,-0.001666746148283542,634.4,40,7,0,214,10
639,0.00583340395658652,634.2,40,7,0,214,10
636,0.020832917599232264,636.8,40,7,0,214,10
640,0.027501261885747648,639.4,40,8,0,213,10
646,0.024168817179189332,640.2,40,8,0,214,10
636,0.021668319828274375,639.4,40,7,0,214,10
632,0.00500014550910665,638.0,40,7,0,214,10
634,-0.007500630744688061,637.6,40,7,0,214,10
640,-0.010833421463656883,637.6,40,7,0,214,10
648,-0.005833696556851568,638.0,40,7,0,214,10
643,0.0058341252844029586,639.4,40,6,0,214,10
636,0.010833609481241081,640.2,40,6,0,214,10
631,0.008334137759102335,639.6,40,6,0,214,10
636,0.003333431336184545,638.8,40,6,0,214,10
