co2,humidity,light,motion,temperature,co2_smoothed,co2_derived,person_count
734,53,1,0,191,734,0.00018066578112820817,10
733,53,1,0,192,733,0.0001815388455443866,10
747,53,1,0,191,747,0.0001771735315556748,10
730,53,1,0,191,730,0.00018229549958718633,10
726,53,1,0,191,734.0,0.0,10
735,53,1,0,191,734.2,0.005000507500616686,7
726,53,1,0,191,732.8,-0.05916795790364287,0
715,53,1,0,191,726.4,-0.015000762277834508,0
724,53,1,0,191,725.2,-0.03666845365795583,0
718,53,1,0,191,723.6,-0.04417028613328176,0
720,53,1,0,191,720.6,-0.050838788753709084,0
711,53,1,0,191,717.6,-0.03664159747834891,0
705,53,1,0,191,715.6,-0.039999852141291176,0
707,53,1,0,191,712.2,-0.047502072166396056,0
705,53,1,0,191,709.6,-0.04581048977448772,0
703,53,1,0,191,706.2,-0.04753231884085796,0
705,53,1,0,190,705.0,-0.04417218748273836,0
707,53,1,0,190,705.4,-0.028330401882867184,0
704,53,1,0,190,704.8,-0.020012518925684557,0
703,53,1,0,191,704.4,-0.007476348240861804,0
693,53,1,0,191,702.4,-0.010833796708899137,0
688,53,1,0,191,699.0,-0.02667245579908805,0
682,53,1,0,191,694.0,-0.0450023634631922,0
689,52,1,0,190,691.0,-0.05602255452994888,0
688,53,1,0,191,688.0,-0.06000473173022262,0
684,53,1,0,191,686.2,-0.05333756438015967,0
685,53,1,0,191,685.6,-0.03500210861153436,0
674,53,1,0,190,684.0,-0.02916760529618061,0
667,52,1,0,190,679.6,-0.03500008473317464,0
670,53,1,0,191,676.0,-0.0425012093406313,0
664,52,1,0,190,672.0,-0.05666838360729986,0
667,52,1,0,190,668.4,-0.06500522317237252,0
666,52,1,0,190,666.8,-0.05333522066860966,0
649,52,1,0,190,663.2,-0.053338972475932625,0
667,52,1,0,190,662.6,-0.039169687684588,0
661,52,1,0,190,662.0,-0.02666840805722268,0
655,52,1,0,190,659.6,-0.03000346202862732,0
653,52,1,0,190,657.0,-0.025797990295629982,0
650,52,1,0,190,657.2,-0.022500582345000644,0
654,52,1,0,190,654.6,-0.030836152209403483,0
650,52,1,0,190,652.4,-0.030002498715601872,0
651,52,1,0,190,651.6,-0.022533126640835798,0
639,52,1,0,190,648.8,-0.03500348684653035,0
642,52,1,0,190,647.2,-0.030833829856298244,0
650,52,1,0,189,646.4,-0.024999936595719925,0
646,52,1,0,190,645.6,-0.024987098728947263,0
636,52,1,0,189,642.6,-0.02583488263126166,0
642,52,1,0,189,643.2,-0.016664086996177135,0
632,52,1,0,190,641.2,-0.02166918450212976,0
629,52,1,0,190,637.0,-0.03585613400319518,0
625,52,1,0,189,632.8,-0.04083612138441669,0
630,52,1,0,189,631.6,-0.048346948562084956,0
630,52,1,0,189,629.2,-0.050001425634738944,0
625,52,1,0,189,627.8,-0.038336316582583754,0
625,52,1,0,189,627.0,-0.024167723807905633,0
627,52,1,0,189,627.4,-0.01750171255934962,0
629,52,1,0,189,627.2,-0.008333753517593972,0
619,52,1,0,189,625.0,-0.011667044309084149,0
623,52,1,0,189,624.6,-0.010000590806339747,0
622,52,1,0,189,624.0,-0.014166445437548187,0
624,52,1,0,189,623.4,-0.01583473469135662,0
626,52,1,0,189,622.8,-0.009167384178139204,0
621,52,1,0,189,623.2,-0.005833709376786098,0
618,52,1,0,189,622.2,-0.0075010344322519445,0
623,52,1,0,189,622.4,-0.004166797316693969,0
612,52,1,0,189,620.0,-0.011666897910780634,0
608,52,1,0,189,616.4,-0.028334123741119165,0
614,52,1,0,189,615.0,-0.02999904611759589,0
609,52,1,0,189,613.2,-0.03833597742376354,0
604,52,1,0,188,609.4,-0.044166454134083065,0
603,52,1,0,189,607.6,-0.036668766764542775,0
607,52,1,0,188,607.4,-0.031670278520698175,0
604,52,1,0,189,605.4,-0.03250266887058926,0
596,52,1,0,188,602.8,-0.027503536162440362,0
595,52,1,0,188,601.0,-0.02750072658988285,0
593,52,1,0,188,599.0,-0.03500197066534297,0
591,52,1,0,188,595.8,-0.04000077368325364,0
594,52,1,0,188,593.8,-0.037503072461369455,3
600,52,1,0,188,594.6,-0.026669483349842076,3
585,52,1,0,188,592.6,-0.02666807722558946,3
592,52,1,0,188,592.4,-0.014167078872097522,3
586,52,1,0,188,591.4,-0.010000077009794002,3
586,52,1,0,188,589.8,-0.01998484276935031,3
584,52,1,0,188,586.6,-0.025002099228327156,3
588,52,1,0,188,587.2,-0.02166904882783706,3
588,52,1,0,189,586.4,-0.020834779343032857,2
594,52,1,0,188,588.0,-0.007506492052921278,2
584,52,1,0,188,587.6,0.004166794605342211,0
588,52,1,0,188,588.4,0.005000291339642878,0
591,52,1,0,188,589.0,0.010834114072192714,0
577,52,1,0,188,586.8,-0.0050002944742214795,0
588,52,1,0,188,585.6,-0.008333865934871953,0
585,52,1,0,188,585.8,-0.010833715826531818,0
585,52,1,0,188,585.2,-0.012667526711469309,0
577,52,1,0,188,582.4,-0.014667305071325343,0
578,52,1,0,187,582.6,-0.01000052589956822,0
574,52,1,0,188,579.8,-0.020001591427586368,0
571,52,1,0,188,577.0,-0.03416945335809696,0
579,52,1,0,188,575.8,-0.02750247918562726,0
567,52,1,0,187,573.8,-0.0366676942099991,0
568,52,1,0,187,571.8,-0.0333289140693293,0
567,52,1,0,187,570.4,-0.027494235522155637,0
568,52,1,0,187,569.8,-0.024992037617778382,0
569,52,1,0,187,567.8,-0.024992531931748115,0
558,52,1,0,187,566.0,-0.02416284483274657,0
560,52,1,0,187,564.4,-0.02499701719312747,0
558,52,1,0,187,562.6,-0.030000638647561563,0
556,52,1,0,187,560.2,-0.03166920760792621,0
549,52,1,0,187,556.2,-0.040851506585744005,0
552,52,1,0,187,555.0,-0.03918476615825959,0
563,52,1,0,187,555.6,-0.02918001244728829,0
546,52,1,0,187,553.2,-0.0291686070428312,0
551,52,1,0,187,552.2,-0.016667522533972842,0
543,52,1,0,187,551.0,-0.01666778022205382,0
551,52,1,0,187,550.8,-0.02000163880503576,0
539,52,1,0,187,546.0,-0.030011656371060253,0
543,52,1,0,187,545.4,-0.028334750756332648,0
541,52,1,0,187,543.4,-0.03165739936551697,0
550,52,1,0,187,544.8,-0.025001498028987268,0
541,52,1,0,187,542.8,-0.013334218772768813,0
541,52,1,0,187,543.2,-0.009167008537716894,0
534,52,1,0,186,541.4,-0.00833658335980174,0
541,52,1,0,187,541.4,-0.014166810018943507,0
535,52,1,0,187,538.4,-0.018334883988249544,0
539,52,1,0,186,538.0,-0.021668072139325197,0
531,52,1,0,186,536.0,-0.02250194494846064,0
535,52,1,0,187,536.2,-0.017334833055544674,0
533,52,1,0,187,534.6,-0.01266766857018146,0
534,52,1,0,186,534.4,-0.012000921816107008,0
532,52,1,0,186,533.0,-0.010000710140427785,0
533,52,1,0,186,533.4,-0.01166727426997755,0
525,52,1,0,187,531.4,-0.013334167810847133,0
535,52,1,0,187,531.8,-0.010834137676601826,0
526,52,1,0,186,530.2,-0.011667179943187627,0
527,52,1,0,186,529.2,-0.017499959789308628,0
523,52,1,0,186,527.2,-0.017500443442474405,0
526,52,1,0,186,527.4,-0.018334295296808384,0
532,52,1,0,186,526.8,-0.014167700751103627,0
529,52,1,0,186,527.4,-0.007500890412827498,0
522,52,1,0,186,526.4,-0.0033333869585083845,0
525,52,1,0,186,526.8,-0.0024981838108445605,0
522,52,1,0,186,526.0,-0.0033297644065219743,0
528,52,1,0,186,525.2,-0.009167052196616388,0
511,52,1,0,186,521.6,-0.01999829298920731,0
524,52,1,0,186,522.0,-0.020016899110449984,0
516,52,1,0,186,520.2,-0.0241942733370239,0
517,52,1,0,186,519.2,-0.025001918522709974,0
523,52,1,0,186,518.2,-0.01417016051180042,0
520,52,1,0,186,520.0,-0.008333770216890291,0
514,52,1,0,186,518.0,-0.009167531260597652,0
515,52,1,0,186,517.8,-0.005833769171050082,0
523,52,1,0,186,519.0,0.0033336277797946993,0
1126,36,138,0,236,639.6,0.00011112998254254324,1
1157,36,143,0,236,767.0,0.00023136595151054378,0
1190,36,146,0,236,902.2,0.0003571769938375416,0
1195,36,151,0,236,1038.2,0.0004824304181174248,0
1195,36,151,1,236,1172.6,2.283799951531501,0
1212,36,159,2,235,1189.8,1.6525421313567317,0
1217,37,163,0,234,1201.8,1.2484511360835637,0
1239,37,168,0,234,1211.6,0.7232006302963447,0
1250,37,163,0,234,1222.6,0.20284197787665306,0
1257,37,169,0,233,1235.0,0.20168406833692765,0
1274,37,171,0,233,1247.4,0.19000278633945436,0
1274,37,171,1,233,1258.8,0.2134246435209523,0
1288,37,168,1,232,1268.6,0.2272791632788143,0
1293,37,169,2,232,1277.2,0.22985677551426395,0
1293,37,169,1,232,1284.4,0.22452289741798298,0
1297,38,176,1,232,1289.0,0.1831070925804669,0
1295,38,179,2,232,1293.2,0.14927649411688979,0
1328,38,178,0,231,1301.2,0.13606071758743726,0
1328,38,178,1,231,1308.2,0.1313175474334916,0
1339,38,170,1,231,1317.4,0.15688505405837122,0
1354,38,164,2,231,1328.8,0.19626985797752944,0
1379,38,165,0,230,1345.6,0.2466630446824578,0
1375,38,182,0,230,1355.0,0.2412961119556646,0
1369,38,184,0,230,1363.2,0.21504256929816465,0
1408,39,180,0,229,1377.0,0.2083169391039591,0
1408,39,180,1,229,1387.8,0.190784017299512,0
1417,39,210,1,229,1395.4,0.19954378429927666,0
1415,39,206,2,229,1403.4,0.21905986270739783,0
1418,39,189,0,228,1413.2,0.20100875376018332,0
1429,39,144,0,228,1417.4,0.14883444545038602,0
1449,39,133,0,229,1425.6,0.13880075402741868,0
1449,39,133,1,229,1432.0,0.1314392800103395,0
1438,39,136,1,228,1436.6,0.11562113227220346,0
1473,39,127,2,228,1447.6,0.16449742415160154,0
1473,39,127,1,228,1456.4,0.18689187015691958,0
1504,40,120,1,228,1467.4,0.21469763742987888,0
1502,40,121,2,227,1478.0,0.2510749005812767,0
1484,40,121,0,227,1487.2,0.22419715069031484,3
1517,40,124,0,227,1496.0,0.2028659407254088,0
1517,40,124,1,227,1504.8,0.19170788862062138,0
1511,40,124,1,226,1506.2,0.1445459320268346,0
1526,40,123,2,226,1511.0,0.1298141494696751,0
1554,40,121,0,226,1525.0,0.16103782834024158,0
1556,40,120,0,226,1532.8,0.14086063590227738,0
1572,40,117,0,226,1543.8,0.17283468162013685,0
1572,40,117,1,226,1556.0,0.2068644805807163,0
1561,40,116,1,225,1563.0,0.1879186143727362,0
1561,40,116,1,225,1564.4,0.17217832539737815,0
1624,41,131,0,225,1578.0,0.19007991630086976,0
1620,41,124,0,224,1587.6,0.15899881338353916,0
1620,41,124,1,224,1597.2,0.17207407961240478,0
1619,41,131,1,225,1608.8,0.22337689438580444,0
1618,41,131,2,224,1620.2,0.22983413095682811,0
1618,41,131,1,224,1619.0,0.1905399284868352,0
1653,41,127,1,224,1625.6,0.1723289642687729,0
1653,41,127,1,224,1632.2,0.14198572661920167,0
1673,41,127,1,223,1643.0,0.13836034569054145,0
1675,41,126,1,223,1654.4,0.2148073617268509,0
1702,41,128,1,224,1671.2,0.22136598090420984,0
1721,42,130,2,223,1684.8,0.2553321097497401,0
1756,42,135,1,223,1705.4,0.3025207500158787,0
1754,42,129,0,223,1721.6,0.31887492525439803,0
1754,42,129,1,223,1737.4,0.31467194043698055,0
1760,42,139,0,222,1749.0,0.3051929222889387,0
1760,42,139,1,222,1756.8,0.24463720088138546,0
1793,42,132,1,222,1764.2,0.20716823169370835,0
1799,43,145,2,222,1773.2,0.21722812574630687,0
1832,43,150,0,222,1788.8,0.22562778155370217,0
1842,43,242,0,222,1805.2,0.2479577965352472,0
1831,43,170,0,222,1819.4,0.2579699524105381,0
1855,43,169,0,222,1831.8,0.2515397327639155,0
1855,43,169,1,222,1843.0,0.2450553304620539,0
1865,43,202,1,222,1849.6,0.21932190782761657,0
1903,43,188,2,222,1861.8,0.2309398041262941,0
1903,43,184,0,222,1876.2,0.2469239906853091,0
1900,43,177,0,221,1885.2,0.2122800457342369,0
1900,43,177,1,221,1894.2,0.2244453705130696,0
1892,43,173,1,222,1899.6,0.19015395020687026,0
1926,43,162,2,221,1904.2,0.1521830785138313,0
1958,43,162,0,221,1915.2,0.16666578231503704,0
1968,44,153,0,221,1928.8,0.17405512274133686,0
1971,44,150,0,221,1943.0,0.19942792354732014,0
2002,44,136,0,221,1965.0,0.2576166451314241,0
2002,44,130,0,221,1980.2,0.2708670584876423,0
2013,44,121,0,221,1991.2,0.2599947654069363,0
2037,44,123,0,221,2005.0,0.2583953431048239,0
2047,44,124,0,220,2020.2,0.23001672239481927,0
2070,44,113,0,220,2033.8,0.2233445268187698,0
2070,44,113,1,220,2047.4,0.2389617633863696,0
2061,44,114,1,220,2057.0,0.24031403932757964,0
2084,44,111,2,220,2066.4,0.23385416808028292,0
2096,44,110,1,220,2076.2,0.23554967192051987,0
2093,44,119,0,220,2080.8,0.1801348712233039,0
2131,44,113,0,220,2093.0,0.17681583329527958,0
2123,45,109,0,220,2105.4,0.17537336694410788,0
2120,45,108,0,220,2112.6,0.1516845837272643,0
2127,45,109,0,220,2118.8,0.1587283847192329,0
2158,45,110,0,220,2131.8,0.16168064597915033,0
2174,45,115,0,219,2140.4,0.14584492274246125,0
2183,45,125,0,219,2152.4,0.16584293217138238,0
2180,45,133,0,219,2164.4,0.19005349794920734,0
2180,45,133,1,219,2175.0,0.19530641919321826,0
2207,45,140,2,219,2184.8,0.2193757379551491,0
2196,45,144,1,219,2189.2,0.20040124838433648,0
2221,45,145,0,219,2196.8,0.17992340678168403,0
2230,45,144,0,219,2206.8,0.1598843837887907,0
2226,45,137,0,219,2216.0,0.14332590884281446,0
2285,45,127,0,219,2231.6,0.1793240670168976,0
2252,45,120,0,219,2242.8,0.19166926552236588,0
2268,45,117,0,219,2252.2,0.1891920097849507,0
2277,45,114,0,218,2261.6,0.1900938142497211,0
2291,45,114,0,219,2274.6,0.17914971046863534,0
2322,46,101,0,219,2282.0,0.16340473217528403,0
2312,46,99,0,218,2294.0,0.17423918784877468,0
2312,46,99,1,218,2302.8,0.18626520783767203,0
2316,46,100,2,218,2310.6,0.17799319368957872,0
2328,46,100,1,218,2318.0,0.1960677065859986,0
2328,46,100,1,218,2319.2,0.15213953317652396,0
2358,46,102,2,218,2328.4,0.15456825764135124,0
2328,46,106,1,218,2331.6,0.12679048038018934,0
2356,46,112,0,218,2339.6,0.12248118509397654,0
2367,46,119,0,218,2347.4,0.1447842278256992,0
2369,46,123,0,218,2355.6,0.12760811481531023,0
2396,46,130,0,218,2363.2,0.13613095545850262,0
2406,46,139,0,218,2378.8,0.1633436223789145,0
2387,46,149,0,218,2385.0,0.15696541465027317,0
2397,46,161,0,218,2391.0,0.14750978711363863,0
2397,46,161,1,218,2396.6,0.1433213726531882,0
2404,46,167,2,218,2398.2,0.09042225413138683,0
2422,46,176,1,217,2401.4,0.08382918983147493,0
2449,46,183,0,217,2413.8,0.12666874376806764,0
2420,46,186,0,217,2418.4,0.11673362312748024,0
2455,46,196,0,217,2430.0,0.15479336577295916,0
2461,46,205,0,217,2441.4,0.17829628318663296,0
2471,47,214,0,217,2451.2,0.15572487016559008,0
2475,46,231,0,216,2456.4,0.15834255358290752,0
2475,46,231,1,216,2467.4,0.16909230285224996,0
