co2,co2_derived,co2_smoothed,humidity,light,motion,temperature,person_count
559,-1.3364276602758067e-05,559,37,76,1,212,7
569,-1.5890450813175858e-05,569,37,78,3,212,7
588,-2.0087159682796116e-05,588,37,73,1,213,7
579,-1.906854054779361e-05,579,37,75,2,213,7
565,0.054166175603351435,572.0,37,77,1,213,7
561,0.014166986264875525,572.4,37,74,0,213,7
554,-0.07750728503045763,569.4,37,74,2,213,7
570,-0.04400345021915342,565.8,37,68,2,213,7
568,-0.028003242327669958,563.6,37,66,0,213,7
557,-0.03466931497670558,562.0,37,66,1,213,7
540,-0.03866937984217711,557.8,37,65,0,213,7
545,-0.040832623470911454,556.0,37,65,2,213,7
545,-0.05249806129641281,551.0,37,64,1,214,7
541,-0.06833645901638508,545.6,37,63,2,213,7
560,-0.04833377737877053,546.2,37,63,1,213,7
564,-0.020835518093348847,551.0,37,65,2,213,7
580,0.029170784115822992,558.0,37,64,1,214,7
578,0.07917174722488272,564.6,37,67,2,214,7
566,0.09750851035634109,569.6,37,68,1,213,7
567,0.08333903350015036,571.0,37,70,2,213,7
567,0.05665640952449593,571.6,37,71,1,213,7
563,0.015001081976847871,568.2,37,68,2,213,7
562,-0.019167586741637637,565.0,37,65,2,213,7
563,-0.027501429038493647,564.4,37,66,1,214,7
591,-0.010003084786342625,569.2,37,65,3,213,7
589,0.022501057845912838,573.6,37,65,1,213,7
598,0.06500541930873045,580.6,38,67,3,214,7
615,0.1116706604316299,591.2,38,65,1,214,7
627,0.14500588157787386,604.0,38,63,2,214,7
618,0.14917268035465606,609.4,38,63,2,214,7
624,0.14916871474266674,616.4,38,65,1,214,7
591,0.09917525293674916,615.0,38,65,2,214,7
589,0.024164658996372726,609.8,38,64,1,214,7
601,-0.020001283171640866,604.6,38,62,3,214,7
598,-0.06583987145148698,600.6,38,63,1,215,7
590,-0.08833774612701355,593.8,38,63,2,214,7
578,-0.07751477260292104,591.2,38,63,0,215,7
589,-0.05583758452780854,591.2,38,63,2,214,7
582,-0.0550014299029318,587.4,38,61,1,214,7
573,-0.04750246522454987,582.4,38,63,3,215,7
582,-0.043335886433467585,580.8,38,64,2,214,7
580,-0.04166899216404635,581.2,38,65,1,215,7
601,-0.015834805988139716,583.6,38,64,3,215,7
569,-0.0058338797041206465,581.0,38,64,1,215,7
575,0.002500168131174214,581.4,38,65,2,215,7
577,-0.0033335653539396117,580.4,38,65,1,215,7
591,-0.0041666620348942114,582.6,38,65,0,215,7
571,-0.018333760172131956,576.6,38,66,0,215,7
578,-0.012501004915751797,578.4,37,64,3,215,7
573,-0.009997505343571494,578.0,38,65,1,215,7
586,-0.011667764276868352,579.8,38,62,3,215,7
577,0.001666742548489729,577.0,38,63,1,215,7
577,-0.0008333648248158744,578.2,38,60,2,215,7
598,0.014004486898475003,582.2,38,59,1,216,-1
606,0.02500160712731506,588.8,38,63,1,215,-1
611,0.04666941830734641,593.8,38,63,2,216,-1
610,0.06167092970010843,600.4,38,64,1,215,-1
592,0.07066860174073591,603.4,38,67,3,216,-1
605,0.066668410611737,604.8,38,68,1,215,-1
596,0.03750299239193292,602.8,38,69,2,215,-1
622,0.015333808949176131,605.0,38,66,2,216,-1
604,0.0013334334480429027,603.8,38,67,1,216,-1
626,0.019335364521204754,610.6,38,68,3,215,-1
606,0.022224012477883852,610.8,38,70,3,216,-1
603,0.02400229273762186,612.2,38,71,1,216,-1
582,0.0009524452302592289,604.2,38,69,3,216,-1
585,-0.024286930019387875,600.4,38,68,1,216,-1
595,-0.04611206044058699,594.2,38,67,2,216,-1
585,-0.061669344471938406,590.0,38,69,2,216,-1
575,-0.08250222738885286,584.4,38,68,1,216,-1
587,-0.05000236800599851,585.4,38,66,2,216,6
582,-0.031335662045286684,584.8,38,64,1,216,6
585,-0.02400098497618308,582.8,38,65,3,217,6
594,0.0006667156663456499,584.6,38,64,2,217,6
593,0.011667583804233833,588.2,38,64,0,216,6
575,0.004166973599385692,585.8,38,64,1,216,6
578,0.007333969335079245,585.0,38,64,1,217,6
577,-0.0040002050981776715,583.4,38,66,2,216,6
593,-0.010417335885623808,583.2,38,66,2,216,6
586,-0.008333714890896031,581.8,38,64,1,216,6
586,-0.0023810620639576037,584.0,38,64,0,217,6
585,0.004762257214981408,585.4,38,64,2,216,6
583,0.014167412718515297,586.6,38,64,1,216,6
553,-0.013334616360666298,578.6,38,64,3,217,6
563,-0.041668775163492065,574.0,38,61,1,216,6
579,-0.053327677425915786,572.6,38,63,3,216,6
570,-0.07083597794942388,569.6,38,62,1,217,6
562,-0.05500119145312013,565.4,38,61,2,217,6
560,-0.030000680491862556,566.8,38,62,1,217,6
565,-0.022498570719262936,567.2,38,62,2,217,6
573,-0.015000705469049717,566.0,38,63,1,217,6
575,0.006667184326840155,567.0,38,62,2,217,6
576,0.012501314855327515,569.8,38,61,1,217,6
573,0.021674276357987233,572.4,38,62,2,217,6
580,0.03916970749212433,575.4,38,61,1,217,6
596,0.05416858123138709,580.0,38,62,0,217,6
592,0.05666955246322246,583.4,38,61,3,217,6
584,0.052488384626769885,585.0,38,62,2,217,6
571,0.03833565087719194,584.6,38,64,1,217,6
585,0.023334939974566156,585.6,38,64,2,218,6
589,0.002666813006484316,584.2,38,63,2,217,6
574,-0.014670701155188433,580.6,38,64,0,217,6
566,-0.021112339191288382,577.0,38,64,0,218,6
590,-0.013334541889513168,580.8,38,64,2,217,6
579,-0.015334909721404433,579.6,38,66,1,217,6
552,-0.028001861336774805,572.2,38,65,2,218,6
551,-0.03133539205036586,567.6,38,68,1,218,6
560,-0.04800118670536354,566.4,38,68,3,217,6
578,-0.052002222353223895,564.0,38,68,1,218,6
578,-0.02800093712446258,563.8,38,70,2,217,6
557,-0.011667434575699995,564.8,38,71,0,218,6
568,0.007500648010627256,568.2,38,71,0,217,6
548,0.007500052743030764,565.8,38,72,2,217,5
537,-0.025834728968700798,557.6,38,71,0,218,5
544,-0.058337219243806554,550.8,38,71,0,217,5
521,-0.10250771267379354,543.6,38,70,1,217,5
522,-0.13084694832753,534.4,38,71,0,217,5
516,-0.12334449854895708,528.0,38,71,0,217,5
537,-0.09500374802335607,528.0,38,70,0,217,5
513,-0.09083307607462049,521.8,37,70,2,217,5
508,-0.06333876829623067,519.2,37,70,0,218,5
502,-0.05333722169400635,515.2,37,69,0,217,5
502,-0.06500518048364803,512.4,37,68,0,217,5
513,-0.05917056970380549,507.6,37,67,0,217,5
516,-0.04583479429802307,508.2,37,67,1,217,5
504,-0.03250188502177758,507.4,37,67,0,217,5
506,-0.017500413869671556,508.2,38,68,0,217,4
503,0.0026668895483849186,508.4,37,68,0,216,4
513,0.0006667090887995068,508.4,37,69,2,217,4
495,-0.01066694723231439,504.2,37,68,1,217,4
495,-0.019335318724728073,502.4,37,68,2,217,4
493,-0.02866850052484441,499.8,37,67,2,217,4
491,-0.030556843276190328,497.4,37,69,1,216,4
501,-0.025556200778143946,495.0,38,69,2,216,4
491,-0.022778531878028627,494.2,38,68,0,217,4
490,-0.022001351196302168,493.2,37,68,0,217,4
498,-0.013334516656769218,494.2,37,68,0,217,4
496,0.0006667625575748254,495.2,37,68,0,217,4
476,-0.013334489625956271,490.2,37,68,1,217,4
482,-0.016000785204954848,488.4,37,68,0,217,4
492,-0.017998183991561056,488.8,37,68,0,217,4
496,-0.02833347122438309,488.4,37,68,0,217,4
475,-0.024999977772454315,484.2,37,68,0,217,4
491,-0.005000403963378134,487.2,37,68,0,217,4
479,-0.00916894966584444,486.6,37,68,0,217,4
488,-0.008667292881751316,485.8,37,68,0,217,4
483,-0.002778006906628709,483.2,37,67,0,217,4
468,-0.012857725291458035,481.8,37,68,0,217,4
482,-0.015715371493989303,480.0,37,67,0,217,4
482,-0.01444526818713692,480.6,37,68,2,217,4
482,-0.012667679121616642,479.4,37,67,1,217,4
498,0.0025001695271045952,482.4,37,67,0,217,4
475,0.015834476678507948,483.8,38,67,2,217,4
471,0.004166929858493142,481.6,37,68,1,217,4
474,0.0025000896659864054,480.0,37,67,0,217,4
486,-0.006667224639328691,480.8,38,66,2,217,4
504,-0.006000281738158625,482.0,38,66,2,217,4
498,0.016667686750005826,486.6,38,67,1,217,4
490,0.034657693172701516,490.4,38,67,2,217,4
489,0.042002582327341,493.4,38,68,1,218,4
482,0.044169441492667445,492.6,38,68,0,218,4
489,0.012500579570282623,489.6,38,69,2,218,4
476,-0.021676629988544128,485.2,38,67,1,217,4
488,-0.03583562017338331,484.8,38,67,0,217,4
484,-0.029334789965162165,483.8,38,67,0,217,4
510,-0.0006667135149709733,489.4,38,68,0,217,4
520,0.021667879574013,495.6,38,68,1,215,4
518,0.040002299083285967,504.0,38,68,2,214,4
527,0.06667184430927826,511.8,38,68,1,214,4
540,0.0800041031898289,523.0,38,69,0,215,4
533,0.13334338555351508,527.6,38,68,0,214,4
531,0.10750046326419656,529.8,38,68,2,214,4
514,0.07166780914200668,529.0,38,69,1,214,4
538,0.03417013295802196,531.2,38,68,3,213,4
391,-0.0004497347839388188,501.4,33,85,0,208,2
404,-0.000930367623804502,475.6,33,85,1,208,2
409,-0.0013354717832849662,451.2,34,86,2,208,2
401,-0.0017611751320650208,428.6,33,86,0,208,2
410,-0.41001580175064883,403.0,34,86,0,208,2
408,-0.2306821316257283,406.4,34,88,2,208,2
410,-0.145353809730974,407.6,34,88,0,208,2
408,-0.07066888031476164,407.4,33,87,0,208,2
403,0.016001251852699065,407.8,33,86,0,208,2
409,0.005000208346783209,407.6,34,85,1,208,2
410,0.0016666656368314013,408.0,34,83,0,209,2
411,0.0033335446451940713,408.2,33,84,0,209,2
407,0.000833369225981578,408.0,34,83,0,209,2
