temperature,humidity,time,motion,light,person_count,co2
220,42,1513258838581605635,0,68,8,1321
220,42,1513258898570991283,0,68,8,1334
220,42,1513258958570166441,0,71,8,1320
220,42,1513259018632595347,0,70,8,1362
220,42,1513259138562795981,0,68,8,1355
219,42,1513259198547834904,0,69,8,1364
219,42,1513259258557095105,0,79,8,1375
219,42,1513259318549556604,0,75,8,1377
219,42,1513259378568309809,0,62,8,1386
219,43,1513259438540035282,0,62,8,1414
219,43,1513259498537696331,0,65,8,1413
219,43,1513259558565962585,0,64,8,1426
219,43,1513259599754455129,1,64,8,1426
219,43,1513259640938491487,1,64,8,1426
219,43,1513259682141917686,1,64,8,1426
219,43,1513259723342512395,1,75,8,1446
219,43,1513259764535128972,2,73,8,1452
218,43,1513259805729057469,1,74,8,1471
219,43,1513259858514516277,0,72,8,1464
219,43,1513259918512701225,0,70,8,1461
218,43,1513259978519768497,0,70,8,1491
218,43,1513260019701510869,1,70,8,1491
219,43,1513260060912099262,2,67,8,1500
219,43,1513260102098538497,1,65,8,1522
219,43,1513260143299325192,1,65,8,1522
219,43,1513260184503175074,2,61,8,1510
219,43,1513260225698998382,1,58,8,1529
219,43,1513260266927327045,1,58,8,1529
219,43,1513260308101760718,2,56,8,1551
218,44,1513260349294231524,1,56,8,1564
218,43,1513260398482152858,0,52,8,1576
218,43,1513260439683012120,1,52,8,1576
218,44,1513260480881635626,2,52,9,1580
218,44,1513260522160148368,1,50,9,1578
218,44,1513260563277870986,1,50,9,1578
218,44,1513260604496850211,2,49,9,1598
218,44,1513260645678389486,1,49,8,1595
218,44,1513260686880281467,1,49,8,1595
218,44,1513260728073804295,2,48,8,1591
218,44,1513260769282930307,1,48,8,1591
218,44,1513260810483705337,1,46,8,1618
218,44,1513260851671952755,1,46,8,1617
218,44,1513260892879872425,2,45,8,1625
218,44,1513260934068872368,1,45,8,1625
218,44,1513260975271611405,2,45,8,1660
218,44,1513261016471422201,1,46,8,1679
218,44,1513261057668581766,1,46,8,1679
218,44,1513261098866779795,1,46,8,1656
218,44,1513261140067579518,1,46,8,1647
218,44,1513261181266650838,1,46,8,1647
218,44,1513261222460826309,1,49,8,1679
218,44,1513261263661777440,1,49,8,1688
218,44,1513261304861089332,2,53,8,1707
218,44,1513261346068334349,1,53,8,1707
217,44,1513261387254904900,1,56,8,1720
217,45,1513261428469657697,2,57,8,1737
218,45,1513261478426745963,0,57,8,1730
218,45,1513261524037694020,1,57,8,1730
218,45,1513261565243498154,1,54,8,1749
218,45,1513261606464488927,2,50,8,1758
218,45,1513261647639354030,1,50,8,1758
218,45,1513261688839208713,1,50,8,1758
217,45,1513261730041554394,1,48,8,1761
218,45,1513261778399759546,0,45,8,1783
217,45,1513261838405136991,0,45,8,1788
217,45,1513261898401055037,0,46,8,1791
218,45,1513261958397660092,0,46,8,1803
218,45,1513262018386626827,0,46,8,1796
217,45,1513262078386115635,0,46,8,1831
217,45,1513262138381288357,0,46,8,1827
217,45,1513262179627803291,1,46,8,1827
217,45,1513262220784266496,2,46,8,1830
217,45,1513262261974690367,1,46,8,1844
217,45,1513262318375290995,0,43,8,1851
217,45,1513262359570345424,1,43,8,1851
217,45,1513262400767097185,2,44,8,1854
217,45,1513262441982699058,1,44,8,1854
217,45,1513262483166297379,1,43,8,1874
217,45,1513262524407457425,1,45,8,1820
217,45,1513262565567914402,2,45,8,1707
217,45,1513262606774947032,1,45,8,1707
217,45,1513262647957953862,1,43,8,1721
217,45,1513262689163162319,2,36,8,1732
217,45,1513262730358503890,1,36,8,1732
217,45,1513262771556462408,1,33,8,1783
217,45,1513262812799448374,2,33,8,1724
217,45,1513262858344983140,0,2,8,1681
216,44,1513262918330866686,0,2,8,1572
216,44,1513262978399642880,0,2,8,1628
216,44,1513263038322902990,0,2,8,1609
216,44,1513263098380926591,0,2,8,1647
216,44,1513263158321988261,0,2,8,1638
215,44,1513263218315494270,0,2,8,1643
215,44,1513263278322405292,0,2,8,1634
216,44,1513263338314000657,0,1,8,1625
215,44,1513263398301834149,0,1,8,1614
215,44,1513263458303473755,0,2,8,1613
215,44,1513263518305935478,0,1,8,1625
215,44,1513263578307458153,0,1,8,1624
215,44,1513263638304594997,0,1,8,1631
215,44,1513263698301272129,0,1,8,1608
216,44,1513263758299718685,0,1,8,1614
215,44,1513263818285096267,0,1,8,1612
215,44,1513263878279160082,0,2,8,1606
215,44,1513263938276006916,0,1,8,1579
215,44,1513264058266364317,0,1,8,1589
215,44,1513264118263724915,0,1,8,1602
215,44,1513264178255046950,0,1,8,1587
