temperature,co2,time,humidity,motion,person_count,light
212,559,1513170384616798237,37,1,7,76
212,569,1513170444612168680,37,3,7,78
213,588,1513170504617995298,37,1,7,73
213,579,1513170564607105000,37,2,7,75
213,565,1513170624618974040,37,1,7,77
213,561,1513170684606754481,37,0,7,74
213,554,1513170744595437329,37,2,7,74
213,570,1513170864583582723,37,2,7,68
213,568,1513170924584238714,37,0,7,66
213,557,1513170984583838326,37,1,7,66
213,540,1513171044574388281,37,0,7,65
213,545,1513171104587754908,37,2,7,65
214,545,1513171164593101841,37,1,7,64
213,541,1513171224572860714,37,2,7,63
213,560,1513171284572183356,37,1,7,63
213,564,1513171344562589083,37,2,7,65
214,580,1513171404559225709,37,1,7,64
214,578,1513171464557459673,37,2,7,67
213,566,1513171524551236733,37,1,7,68
213,567,1513171584546173842,37,2,7,70
213,567,1513171644602675720,37,1,7,71
213,563,1513171704540149260,37,2,7,68
213,562,1513171764539716180,37,2,7,65
214,563,1513171824533702922,37,1,7,66
213,591,1513171884528663551,37,3,7,65
213,589,1513171944528866136,37,1,7,65
214,598,1513172004519708144,38,3,7,67
214,615,1513172064525119445,38,1,7,65
214,627,1513172124518928891,38,2,7,63
214,618,1513172184519190759,38,2,7,63
214,624,1513172244516412911,38,1,7,65
214,591,1513172304504341181,38,2,7,65
214,589,1513172364538868949,38,1,7,64
214,601,1513172424503793641,38,3,7,62
215,598,1513172484492580167,38,1,7,63
214,590,1513172544492352245,38,2,7,63
215,578,1513172604493130095,38,0,7,63
214,589,1513172664485521252,38,2,7,63
214,582,1513172724486340701,38,1,7,61
215,573,1513172784479897063,38,3,7,63
214,582,1513172844478990858,38,2,7,64
215,580,1513172904472127151,38,1,7,65
215,601,1513172964464020482,38,3,7,64
215,569,1513173024457419797,38,1,7,64
215,575,1513173084462851341,38,2,7,65
215,577,1513173144455422901,38,1,7,65
215,591,1513173204464287367,38,0,7,65
215,571,1513173264451832275,38,0,7,66
215,578,1513173324443558342,37,3,7,64
215,573,1513173384515309652,38,1,7,65
215,586,1513173444441710065,38,3,7,62
215,577,1513173504440905804,38,1,7,63
215,577,1513173564434489206,38,2,7,60
216,598,1513173684419192587,38,1,-1,59
215,606,1513173804418568748,38,1,-1,63
216,611,1513173864419680063,38,2,-1,63
215,610,1513173924409604077,38,1,-1,64
216,592,1513173984410977879,38,3,-1,67
215,605,1513174044412290786,38,1,-1,68
215,596,1513174104400530316,38,2,-1,69
216,622,1513174224400298849,38,2,-1,66
216,604,1513174284388453686,38,1,-1,67
215,626,1513174344380775773,38,3,-1,68
216,606,1513174464371530509,38,3,-1,70
216,603,1513174524371642330,38,1,-1,71
216,582,1513174704360109010,38,3,-1,69
216,585,1513174764359751611,38,1,-1,68
216,595,1513174824364119150,38,2,-1,67
216,585,1513174884356010440,38,2,-1,69
216,575,1513174944353629500,38,1,-1,68
216,587,1513175064345544226,38,2,6,66
216,582,1513175124341824536,38,1,6,64
217,585,1513175184343698854,38,3,6,65
217,594,1513175244331581241,38,2,6,64
216,593,1513175304326678907,38,0,6,64
216,575,1513175364324146526,38,1,6,64
217,578,1513175484317682811,38,1,6,64
216,577,1513175544316199728,38,2,6,66
216,593,1513175784295843317,38,2,6,66
216,586,1513175844302169764,38,1,6,64
217,586,1513175904298335470,38,0,6,64
216,585,1513175964285115721,38,2,6,64
216,583,1513176024283204996,38,1,6,64
217,553,1513176084279077574,38,3,6,64
216,563,1513176144286191230,38,1,6,61
216,579,1513176204310570106,38,3,6,63
217,570,1513176264274244672,38,1,6,62
217,562,1513176324273878637,38,2,6,61
217,560,1513176384280747301,38,1,6,62
217,565,1513176444325816642,38,2,6,62
217,573,1513176504262957831,38,1,6,63
217,575,1513176564255244195,38,2,6,62
217,576,1513176624255504827,38,1,6,61
217,573,1513176684241554271,38,2,6,62
217,580,1513176744244326022,38,1,6,61
217,596,1513176804246761651,38,0,6,62
217,592,1513176864243283210,38,3,6,61
217,584,1513176924294664782,38,2,6,62
217,571,1513176984229817103,38,1,6,64
218,585,1513177044230237157,38,2,6,64
217,589,1513177164226820980,38,2,6,63
217,574,1513177224212164016,38,0,6,64
218,566,1513177344208876259,38,0,6,64
217,590,1513177404197609224,38,2,6,64
217,579,1513177464195981853,38,1,6,66
218,552,1513177524192222333,38,2,6,65
218,551,1513177644189166618,38,1,6,68
217,560,1513177704190192358,38,3,6,68
218,578,1513177764183161005,38,1,6,68
217,578,1513177824182182031,38,2,6,70
218,557,1513177884173370540,38,0,6,71
217,568,1513177944169457814,38,0,6,71
217,548,1513178004181473315,38,2,5,72
218,537,1513178064169216930,38,0,5,71
217,544,1513178124157383873,38,0,5,71
217,521,1513178184151400444,38,1,5,70
217,522,1513178244156500522,38,0,5,71
217,516,1513178304147491986,38,0,5,71
217,537,1513178364147915543,38,0,5,70
217,513,1513178424152080102,37,2,5,70
218,508,1513178484135906633,37,0,5,70
217,502,1513178544129995499,37,0,5,69
217,502,1513178604128789290,37,0,5,68
217,513,1513178664136249075,37,0,5,67
217,516,1513178724128256833,37,1,5,67
217,504,1513178784116076193,37,0,5,67
217,506,1513178844123113335,38,0,4,68
216,503,1513178964111176966,37,0,4,68
217,513,1513179024109168086,37,2,4,69
217,495,1513179084108185521,37,1,4,68
217,495,1513179144092308815,37,2,4,68
217,493,1513179264091986582,37,2,4,67
216,491,1513179384093996914,37,1,4,69
216,501,1513179444099096431,38,2,4,69
217,491,1513179504080390761,38,0,4,68
217,490,1513179564073562475,37,0,4,68
217,498,1513179624072699091,37,0,4,68
217,496,1513179744055951932,37,0,4,68
217,476,1513179804054376396,37,1,4,68
217,482,1513179864058840606,37,0,4,68
217,492,1513179924102968866,37,0,4,68
217,496,1513179984054783732,37,0,4,68
217,475,1513180044054589743,37,0,4,68
217,491,1513180104039451740,37,0,4,68
217,479,1513180164043210732,37,0,4,68
217,488,1513180284033108807,37,0,4,68
217,483,1513180404024897128,37,0,4,67
217,468,1513180524020426424,37,0,4,68
217,482,1513180584014192702,37,0,4,67
217,482,1513180644012579766,37,2,4,68
217,482,1513180704000919841,37,1,4,67
217,498,1513180764004152908,37,0,4,67
217,475,1513180823996863377,38,2,4,67
217,471,1513180883997420810,37,1,4,68
217,474,1513180943992312115,37,0,4,67
217,486,1513181003984067673,38,2,4,66
217,504,1513181123982777159,38,2,4,66
217,498,1513181183979060518,38,1,4,67
217,490,1513181244069987615,38,2,4,67
218,489,1513181303965623717,38,1,4,68
218,482,1513181363967699870,38,0,4,68
218,489,1513181423967933296,38,2,4,69
217,476,1513181483959675297,38,1,4,67
217,488,1513181543950308130,38,0,4,67
217,484,1513181663952803230,38,0,4,67
217,510,1513181723946852948,38,0,4,68
215,520,1513181963932806306,38,1,4,68
214,518,1513182023922720654,38,2,4,68
214,527,1513182083920186606,38,1,4,68
215,540,1513182143925312376,38,0,4,69
214,533,1513182203914713594,38,0,4,68
214,531,1513182263921686293,38,2,4,68
214,514,1513182323916360703,38,1,4,69
213,538,1513182383900966273,38,3,4,68
208,391,1513240460471545978,33,0,2,85
208,404,1513240520463093452,33,1,2,85
208,409,1513240580482297691,34,2,2,86
208,401,1513240640458268052,33,0,2,86
208,410,1513240700462296597,34,0,2,86
208,408,1513240820442981591,34,2,2,88
208,410,1513240880440035906,34,0,2,88
208,408,1513240940448870913,33,0,2,87
208,403,1513241000438826083,33,0,2,86
208,409,1513241060432981141,34,1,2,85
209,410,1513241120440184095,34,0,2,83
209,411,1513241180433657372,33,0,2,84
209,407,1513241240428489437,34,0,2,83
209,404,1513241300417029667,33,0,2,83
209,413,1513241360431747920,34,2,2,81
209,413,1513241480414079113,33,0,2,80
209,406,1513241540414563098,33,0,2,80
209,404,1513241600398221753,33,0,2,80
209,406,1513241660402943462,33,0,2,79
209,409,1513241780393098700,33,0,2,77
209,420,1513241900382802145,34,2,3,77
209,416,1513241960378941698,33,1,3,77
209,421,1513242020381027085,34,0,3,76
209,421,1513242080372918092,34,0,3,76
209,435,1513242200367666701,34,0,3,76
209,415,1513242380355802165,34,0,3,76
209,429,1513242440366200777,34,0,3,76
208,418,1513242560355103765,34,0,3,76
208,410,1513242620338202466,34,0,3,77
208,427,1513242740339313954,34,2,3,80
208,425,1513242800341995254,34,0,3,81
207,436,1513242860323752764,34,0,3,83
208,424,1513242920333276329,34,0,3,83
207,430,1513242980317591563,34,0,3,81
207,425,1513243040321158219,34,0,3,82
208,431,1513243160308366890,34,0,3,85
208,429,1513243220308900587,34,0,3,84
208,435,1513243280305684356,34,0,3,83
207,431,1513243400296550761,33,0,3,84
207,424,1513243460293458718,34,2,3,85
208,431,1513243580281055739,34,0,3,83
207,433,1513243640281791258,34,0,3,81
208,433,1513243760279330494,34,0,3,79
207,447,1513243820269923074,34,0,3,78
208,428,1513243880269179704,34,0,3,80
207,435,1513243940274108223,34,0,3,81
208,433,1513244000273604604,34,0,3,81
208,432,1513244060261763205,34,0,3,84
207,431,1513244120254262647,34,0,3,86
208,430,1513244180251457335,34,0,3,85
208,431,1513244240257700210,34,0,3,86
207,438,1513244360236608837,34,2,-1,86
207,448,1513244420248165620,34,1,-1,87
208,449,1513244480242854358,34,2,-1,88
207,465,1513244540229219972,34,2,-1,84
208,465,1513244600228220155,34,2,-1,83
208,461,1513244720230650718,34,0,-1,86
208,436,1513244900210718577,34,0,-1,84
208,432,1513244960210714992,34,0,-1,84
209,428,1513245080196389302,34,0,-1,85
208,432,1513245140201343303,34,0,-1,84
208,424,1513245260194037930,34,0,-1,84
208,421,1513245320183152115,33,0,-1,84
208,425,1513245440178038539,34,0,-1,84
208,425,1513245500172928932,33,0,-1,83
208,420,1513245620168271047,34,0,-1,84
208,419,1513245680157914772,33,0,-1,84
209,426,1513245860159910413,33,1,-1,89
209,424,1513245920146357481,33,0,-1,94
208,426,1513246040146937367,33,0,-1,95
208,422,1513246100138533123,33,0,-1,95
209,413,1513246160135954021,33,0,-1,97
209,420,1513246460114683324,33,0,-1,97
209,413,1513246640116660557,33,0,-1,87
208,432,1513246820090508350,33,2,-1,89
209,423,1513246940088293037,33,0,-1,100
208,435,1513247000081479555,33,0,-1,105
208,446,1513247120081725871,34,0,-1,108
208,447,1513247180072327732,34,0,-1,107
208,439,1513247240067829331,33,1,-1,103
208,445,1513247300062102355,34,2,-1,105
208,448,1513247360078434766,34,0,-1,106
209,436,1513247420056980007,34,0,-1,107
208,421,1513247480048711001,33,0,-1,109
208,434,1513247540052475326,33,1,-1,110
208,437,1513247600050801390,34,0,-1,112
208,431,1513248799971176592,33,0,3,102
209,432,1513248859973837829,33,0,3,104
209,436,1513248919963318424,33,0,3,107
209,432,1513249039958595210,33,0,3,109
209,432,1513249159958991492,33,0,3,110
209,442,1513249279944993161,33,0,3,112
210,443,1513249339945913580,33,0,3,107
209,425,1513249399942512960,33,0,3,103
210,424,1513249459933690351,33,0,3,98
210,428,1513249519932842313,33,0,3,94
209,420,1513249579927401950,33,0,3,97
